,id,index,period,timestamp,minute,second,possession,duration,match_id,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,end_x,end_y,body_part_id,body_part_name,sub_type_id,sub_type_name,x,y,outcome_id,outcome_name,counterpress,under_pressure,dribble_overrun,pass_cross,pass_cut_back,off_camera,out,aerial_won,pass_switch,ball_recovery_recovery_failure,foul_committed_card_id,foul_committed_card_name,technique_id,technique_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,end_z,shot_key_pass_id,goalkeeper_position_id,goalkeeper_position_name,foul_won_defensive,substitution_replacement_id,substitution_replacement_name,shot_first_time,shot_one_on_one,pass_deflected,pass_goal_assist,pass_no_touch,block_offensive,block_deflection,injury_stoppage_in_chain,block_save_block,foul_committed_advantage,foul_won_advantage,dribble_nutmeg,foul_committed_offensive,bad_behaviour_card_id,bad_behaviour_card_name,shot_deflected,shot_open_goal,ball_recovery_offensive,pass_miscommunication,player_off_permanent,dribble_no_touch,foul_committed_penalty,foul_won_penalty,shot_follows_dribble,shot_redirect
2334,8df61c8c-8c15-44c3-a4e4-88f28889fe3b,1371,1,00:38:18,38,18,71,0.802446,3813308,16,Shot,7291,Odisha,4,From Throw In,7291,Odisha,,8150.0,Francisco Javier Hernández González,13.0,Right Center Midfield,,,,,,,115.3,40.4,40.0,Right Foot,87.0,Open Play,87.15,36.04,100.0,Saved,,,,,,,,,,,,,93.0,Normal,,,0.033312447,0.3,130ee796-0ca0-4882-97cd-aee2bc13d95f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335,60e89806-be91-4117-9574-e9b8c4c44d23,1458,1,00:41:16,41,16,77,0.020525,3813308,16,Shot,7288,Goa,3,From Free Kick,7288,Goa,,159780.0,Aibanbha Kupar Dohling,5.0,Left Center Back,,,,,,,113.6,47.1,37.0,Head,87.0,Open Play,98.7875,40.375,96.0,Blocked,,,,,,,,,,,,,93.0,Normal,,,0.052729465,,bd03b449-ed89-4fec-8bdd-9204236a5215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2336,ac21c422-99a8-47e7-b997-044cf26da69a,1463,1,00:41:17,41,17,77,0.40285,3813308,16,Shot,7288,Goa,3,From Free Kick,7288,Goa,,35039.0,Iván Garrido González,4.0,Center Back,,,,,,,120.0,38.6,40.0,Right Foot,87.0,Open Play,102.4625,33.83,97.0,Goal,,1.0,,,,,,,,,,,95.0,Volley,,,0.5360032,0.3,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2337,3e5d867c-3c8e-46d3-996a-db860d057e29,1900,2,00:06:14,51,14,108,0.465317,3813308,16,Shot,7291,Odisha,6,From Counter,7291,Odisha,,8584.0,Jonathas Cristian de Jesus,23.0,Center Forward,,,,,,,112.6,49.3,40.0,Right Foot,87.0,Open Play,93.7125,47.42999999999999,100.0,Saved,,,,,,,,,,,,,91.0,Half Volley,,,0.07172678,1.9,2f0ebffe-45cc-4e40-a55b-739190c96aa9,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2338,76b27e41-d1e3-4078-b2cb-f31b8b4fb7d5,1940,2,00:07:08,52,8,111,0.269062,3813308,16,Shot,7291,Odisha,1,Regular Play,7291,Odisha,,8584.0,Jonathas Cristian de Jesus,23.0,Center Forward,,,,,,,120.0,41.2,40.0,Right Foot,87.0,Open Play,103.25,37.739999999999995,97.0,Goal,,,,,,,,,,,,,95.0,Volley,,,0.24571541,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2339,3fe736b9-ede4-41cc-b5ce-a3a0dea3a2b6,2195,2,00:15:28,60,28,131,0.102209,3813308,16,Shot,7288,Goa,6,From Counter,7288,Goa,,159779.0,Saviour Gama,8.0,Left Wing Back,,,,,,,98.5,26.6,38.0,Left Foot,87.0,Open Play,84.7875,21.93,96.0,Blocked,,,,,,,,,,,,,93.0,Normal,,,0.016553503,,bcc994a1-96e6-4be8-b78b-84142325967d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2340,8647dbad-f5b0-4946-bda4-4b1f0c186487,2221,2,00:15:55,60,55,133,0.011466,3813308,16,Shot,7291,Odisha,3,From Free Kick,7291,Odisha,,8584.0,Jonathas Cristian de Jesus,23.0,Center Forward,,,,,,,111.2,44.9,37.0,Head,87.0,Open Play,96.95,38.335,96.0,Blocked,,1.0,,,,,,True,,,,,93.0,Normal,,,0.06821132,,6c5ac984-ad75-45fd-8079-959f2015cb45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2341,5a8da91a-868a-42a3-86ec-2a810ccff605,2312,2,00:18:16,63,16,136,0.008536,3813308,16,Shot,7291,Odisha,1,Regular Play,7291,Odisha,,24268.0,Ariday Cabrera Suárez,16.0,Left Midfield,,,,,,,102.3,25.6,40.0,Right Foot,87.0,Open Play,88.725,21.165,96.0,Blocked,,,,,,,,,,,,,93.0,Normal,,,0.016845752,,a7571ebf-518e-434a-ba1d-94c277712077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2342,1354e8d8-a3f2-4305-a34b-e14406e62718,2415,2,00:20:45,65,45,141,0.860181,3813308,16,Shot,7288,Goa,1,Regular Play,7288,Goa,,159783.0,Devendra Dhaku Murgaokar,24.0,Left Center Forward,,,,,,,120.0,45.9,38.0,Left Foot,87.0,Open Play,90.5625,49.81,98.0,Off T,,,,,,,,,,,,,93.0,Normal,,,0.010677284,0.2,24323382-21bf-46ed-b9a2-8328a0aff4cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2343,758212ae-64bc-4006-8e86-d440e63677a2,2576,2,00:25:53,70,53,153,0.152173,3813308,16,Shot,7291,Odisha,4,From Throw In,7291,Odisha,,8584.0,Jonathas Cristian de Jesus,23.0,Center Forward,,,,,,,103.6,33.4,40.0,Right Foot,87.0,Open Play,88.55,27.71,96.0,Blocked,,,,,,,,,,,,,95.0,Volley,,,0.047143616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
